"id";"id_uczelnia";"typ";"path"
"1183";"632";"logo";"13422195437450.jpg"
"1498";"342";"logo";"13430364052491.jpg"
"1499";"342";"galeria";"13430366157632.png"
"1500";"342";"galeria";"13430366047881.png"
"1501";"342";"galeria";"13430365891014.png"
"1502";"342";"galeria";"13430364477143.png"
"1503";"342";"galeria";"13430364353273.png"
"1504";"342";"galeria";"13430364185367.jpg"
"1831";"613";"logo";"13542752841778.jpg"
"1832";"430";"logo";"13430531901374.jpg"
"1833";"430";"galeria";"13430532071947.jpg"
"1834";"430";"galeria";"13430532028112.jpg"
"1835";"430";"galeria";"13430531991652.jpg"
"1836";"430";"galeria";"13430531966142.jpg"
"2114";"385";"logo";"13351777035629.png"
"2460";"447";"logo";"13615365192470.jpg"
"2461";"447";"galeria";"13615365533495.jpg"
"2462";"447";"galeria";"13615365488709.jpg"
"2463";"447";"galeria";"13615365431070.jpg"
"2464";"447";"galeria";"13615365377802.jpg"
"2465";"447";"galeria";"13615365324229.jpg"
"2544";"9";"logo";"13630810474660.jpg"
"2545";"9";"galeria";"13630821289918.jpg"
"2546";"9";"galeria";"13630821246193.jpg"
"2547";"9";"galeria";"13630821205648.jpg"
"2548";"9";"galeria";"13630821149357.jpg"
"2549";"9";"galeria";"13630821106881.jpg"
"2550";"9";"galeria";"13630821069123.jpg"
"2551";"9";"galeria";"13630821014028.jpg"
"2552";"9";"galeria";"13630820964612.jpg"
"2553";"9";"galeria";"13630820907429.jpg"
"2554";"9";"galeria";"13630820832119.jpg"
"2555";"9";"galeria";"13630820772252.jpg"
"2556";"9";"galeria";"13630820722225.jpg"
"2557";"9";"galeria";"13630820668287.jpg"
"2558";"9";"galeria";"13630820602641.jpg"
"2559";"9";"galeria";"13630820543758.jpg"
"2560";"9";"galeria";"13630820487968.jpg"
"2561";"9";"galeria";"13630820419704.jpg"
"2562";"9";"galeria";"13630820361143.jpg"
"2563";"9";"galeria";"13630820303285.jpg"
"2564";"9";"galeria";"13630820258408.jpg"
"2565";"9";"galeria";"13630820153376.jpg"
"2566";"9";"galeria";"13630820109990.jpg"
"2567";"9";"galeria";"13630820044916.jpg"
"2568";"9";"galeria";"13630819966060.jpg"
"2569";"9";"galeria";"13630819893090.jpg"
"2570";"9";"galeria";"13630819822839.jpg"
"2571";"9";"galeria";"13630819768459.jpg"
"2572";"9";"galeria";"13630819705441.jpg"
"2573";"9";"galeria";"13630819617043.jpg"
"2574";"9";"galeria";"13630817259342.jpg"
